date,price
2012-11-01,3.5424999999999995
2012-12-01,3.341500000000001
2013-01-01,3.3290909090909095
2013-02-01,3.340526315789474
2013-03-01,3.8309999999999995
2013-04-01,4.181818181818182
2013-05-01,4.028571428571429
2013-06-01,3.811428571428571
2013-07-01,3.6190909090909087
2013-08-01,3.4247619047619042
2013-09-01,3.6171428571428583
2013-10-01,3.673043478260869
2013-11-01,3.647894736842106
2013-12-01,4.23904761904762
2014-01-01,4.713333333333334
2014-02-01,6.000526315789473
2014-03-01,4.880000000000001
2014-04-01,4.676666666666668
2014-05-01,4.5714999999999995
2014-06-01,4.582272727272727
2014-07-01,4.0190909090909095
2014-08-01,3.9195000000000007
2014-09-01,3.933636363636364
2014-10-01,3.765454545454545
2014-11-01,4.1315
2014-12-01,3.4428571428571426
2015-01-01,2.9945000000000004
2015-02-01,2.8747368421052633
2015-03-01,2.821739130434782
2015-04-01,2.611904761904762
2015-05-01,2.8550000000000004
2015-06-01,2.7836363636363637
2015-07-01,2.8422727272727273
2015-08-01,2.7704545454545455
2015-09-01,2.6459090909090905
2015-10-01,2.339523809523809
2015-11-01,2.0931818181818183
2015-12-01,1.9369565217391302
2016-01-01,2.282380952380952
2016-02-01,1.9552380952380954
2016-03-01,1.7417391304347825
2016-04-01,1.9205000000000005
2016-05-01,1.936521739130435
2016-06-01,2.6154545454545453
2016-07-01,2.8266666666666658
2016-08-01,2.8230434782608698
2016-09-01,2.9957142857142856
2016-10-01,2.9581818181818176
2016-11-01,2.5854545454545454
2016-12-01,3.6042857142857136
2017-01-01,3.297826086956521
2017-02-01,2.8225000000000002
2017-03-01,2.895
2017-04-01,3.106666666666667
2017-05-01,3.14304347826087
2017-06-01,2.9719047619047623
2017-07-01,2.9759090909090915
2017-08-01,2.904782608695652
2017-09-01,2.9805
2017-10-01,2.87
2017-11-01,3.0209090909090905
2017-12-01,2.821578947368421
2018-01-01,3.836666666666667
2018-02-01,2.65
2018-03-01,2.6940000000000004
2018-04-01,2.7940909090909094
2018-05-01,2.808181818181818
2018-06-01,2.97
2018-07-01,2.8309090909090906
2018-08-01,2.969090909090909
2018-09-01,3.002
2018-10-01,3.2852173913043488
2018-11-01,4.129473684210526
2018-12-01,4.041666666666667
2019-01-01,3.0899999999999994
2019-02-01,2.718421052631579
2019-03-01,2.9266666666666663
2019-04-01,2.6404761904761904
2019-05-01,2.6414285714285715
2019-06-01,2.395238095238096
2019-07-01,2.3676190476190473
2019-08-01,2.214285714285714
2019-09-01,2.5495238095238086
2019-10-01,2.339130434782608
2019-11-01,2.647222222222222
2019-12-01,2.2242857142857155
2020-01-01,2.0185714285714282
2020-02-01,1.907
2020-03-01,1.7851851851851852
2020-04-01,1.739047619047619
2020-05-01,1.7434999999999998
2020-06-01,1.6363636363636365
2020-07-01,1.7710000000000001
2020-08-01,2.01
